company_id,company_name,broad_sector,sub_sector,market_cap_category,clean_roe_pct,debt_to_equity,net_profit_margin_pct,operating_profit_margin_pct,free_cash_flow_cr,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,roce_percentage
COALINDIA,Coal India Ltd,Materials,Mining & Metals,Large Cap,42.46,0.08,18.16,22982.17,13647.58,316557.64,42.54,8.94,22.15,2.26,63.6
DABUR,Dabur India Ltd,Consumer Staples,Personal Products,Large Cap,25.91,0.19,15.53,19.25,746.83,55219.27,43.19,9.53,16.01,2.05,22.3
DIVISLAB,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,20.52,0.01,26.89,36.5,467.25,1372003.87,42.79,6.72,22.43,0.79,16.5
DLF,DLF Ltd,Real Estate,Real Estate,Large Cap,4.26,0.57,19.26,32.08,2362.92,1306035.94,41.79,10.96,15.22,3.13,5.74
DMART,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,14.45,0.31,4.36,7.75,-337.17,2439395.37,43.04,8.85,26.03,2.65,19.4
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,Mid Cap,16.34,0.3,12.94,21.0,927.25,1924076.38,15.15,8.23,21.33,2.35,26.5
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,Large Cap,23.83,0.02,17.41,22.25,272.67,202506.6,36.33,9.93,27.99,2.5,31.1
GAIL,GAIL (India) Ltd,Energy,Gas Distribution,Large Cap,12.52,0.27,8.16,11.83,2092.5,1025963.76,33.24,6.14,28.32,2.22,14.7
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Personal Products,Large Cap,21.57,0.47,12.75,19.5,501.08,1093762.99,38.31,6.14,18.2,3.36,26.49
GRASIM,Grasim Industries Ltd,Industrials,Diversified Industrials,Mid Cap,11.98,0.95,9.3,19.42,-3365.83,419903.77,46.36,7.86,21.8,1.5,9.3
HAL,Hindustan Aeronautics Ltd,Industrials,Defence & Aerospace,Large Cap,,0.14,16.46,23.12,2062.5,1806331.86,44.62,6.58,22.99,2.49,38.9
HAVELLS,Havells India Ltd,Industrials,Consumer Electricals,Large Cap,22.76,0.17,8.24,11.25,443.25,2095756.66,49.33,10.48,27.38,1.07,24.4
HCLTECH,HCL Technologies Ltd,Information Technology,IT Services,Large Cap,25.15,0.07,16.67,23.27,7987.45,307820.57,54.58,7.42,17.26,2.0,29.6
HDFCBANK,HDFC Bank Ltd,Financials,Private Banks,Large Cap,16.46,7.94,22.55,8684.17,-2583.0,686593.77,32.74,4.89,24.02,2.9,7.67
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,Life Insurance,Large Cap,21.85,0.02,3.02,831.92,513.8,38713.27,52.38,9.96,22.17,2.91,6.61
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,Two Wheelers,Large Cap,27.07,0.03,9.99,4287.18,2109.09,1289202.04,54.78,9.68,27.41,2.77,29.1
HINDALCO,Hindalco Industries Ltd,Materials,Metals & Mining,Large Cap,8.07,1.17,3.27,15051.5,5192.58,440625.75,44.25,7.54,22.59,1.7,11.3
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,FMCG,Mid Cap,48.42,0.02,15.19,8846.5,6001.75,423950.92,23.58,7.09,19.77,3.02,27.2
ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,Large Cap,12.68,7.11,20.95,-29408.67,7152.75,947523.63,48.43,8.19,24.56,2.62,7.6
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,General Insurance,Large Cap,18.16,0.04,10.3,930.58,244.17,973285.27,49.77,9.32,15.97,2.32,22.5
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,Life Insurance,Large Cap,21.07,0.06,4.06,283.83,1046.75,1722380.52,48.72,5.11,18.52,2.16,8.75
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Airlines,Large Cap,,0.68,1.74,3244.58,2378.83,1131480.59,50.84,8.98,28.03,2.71,24.5
INDUSINDBK,IndusInd Bank Ltd,Financials,Private Banks,Large Cap,13.11,7.69,17.13,275.5,-639.0,1661438.53,51.9,3.68,25.14,1.8,7.93
INFY,Infosys Ltd,Information Technology,IT Services,Large Cap,25.52,0.03,20.1,26.33,12539.25,725119.82,38.98,9.44,26.83,2.54,40.0
IOC,"Indian Oil Corporation
",Energy,Oil & Gas Refining,Mid Cap,14.79,0.97,3.18,6.5,9725.5,1403373.64,49.96,6.34,23.92,2.53,21.31
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Travel & Tourism,Mid Cap,30.76,0.02,20.92,26.0,261.6,1227948.44,41.67,6.7,22.89,1.94,53.8
IRFC,Indian Railway Finance Corporation Ltd,Financials,Speciality Finance,Large Cap,11.49,8.55,21.77,99.56,-38150.67,1706715.68,39.21,6.0,23.94,2.13,5.73
ITC,"ITC Ltd
",Consumer Staples,Diversified FMCG,Large Cap,26.04,0.0,26.49,36.58,9202.83,327327.55,58.78,4.58,25.79,2.73,34.76
JINDALSTEL,Jindal Steel & Power Ltd,Materials,Steel,Large Cap,13.06,1.14,1.95,23.75,2812.17,393426.48,50.57,7.71,20.54,2.91,13.2
JIOFIN,Jio Financial Services Ltd,Financials,Diversified Financials,Mid Cap,0.59,0.0,77.7,86.0,854.0,881005.94,45.22,9.96,22.82,2.81,2.16
JSWENERGY,JSW Energy Ltd,Energy,Power & Utilities,Mid Cap,9.41,1.18,11.67,38.0,1261.0,82868.54,41.12,7.31,23.03,1.52,8.59
JSWSTEEL,JSW Steel Ltd,Materials,Steel,Large Cap,13.67,1.5,5.5,19.0,3402.5,2103031.64,40.81,6.57,29.36,2.01,13.36
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,Private Banks,Large Cap,12.92,4.65,26.13,-5385.0,1055.08,497405.71,52.01,5.51,21.73,1.46,7.86
LICI,Life Insurance Corporation of India,Financials,Life Insurance,Large Cap,51.72,97.58,1.89,1.33,46197.17,184379.44,38.73,4.91,19.6,2.29,63.79
LODHA,Macrotech Developers Ltd,Real Estate,Real Estate,Large Cap,14.5,3.19,8.67,22.44,1486.0,1376894.93,49.07,10.15,23.14,3.0,11.1
LT,Larsen & Toubro Ltd,Industrials,Engineering & Construction,Large Cap,75.37,0.07,6.71,16.0,282.17,818149.32,28.59,8.91,14.99,1.69,17.18
LTIM,LTIMindtree Ltd,Information Technology,IT Services,Large Cap,33.63,0.07,15.15,19.67,977.0,1265870.08,55.56,7.53,24.74,2.9,34.1
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Automobiles,Large Cap,16.12,1.65,5.79,14.42,-5692.25,2989720.19,42.1,9.55,16.42,2.62,26.98
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles,Mid Cap,14.05,0.02,7.79,12.0,2070.0,1391583.22,31.97,6.16,25.55,1.98,23.67
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Auto Ancillaries,Large Cap,21.08,1.19,3.19,8.25,1003.58,109105.9,36.79,10.06,24.13,2.39,13.7
NAUKRI,Info Edge (India) Ltd,Communication Services,Internet & Platforms,Large Cap,22.48,0.01,89.67,10.92,-202.92,419081.85,36.11,10.05,25.35,1.78,3.65
NESTLEIND,Nestle India Ltd,Consumer Staples,Food Products,Large Cap,45.18,0.1,13.37,22.17,1766.42,1477324.34,46.32,8.24,18.9,2.17,185.43
NHPC,"NHPC Ltd
",Energy,Power & Utilities,Large Cap,9.73,0.7,35.94,55.92,2676.0,1506952.16,61.22,11.41,25.82,2.5,7.67
NTPC,NTPC Ltd,Energy,Power & Utilities,Large Cap,12.13,1.34,13.09,26.5,4006.83,753600.15,45.96,6.62,22.52,1.34,10.58
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Oil & Gas Exploration,Large Cap,12.83,0.42,9.41,20.17,11038.75,358030.15,38.61,8.24,21.19,2.38,19.71
PFC,Power Finance Corporation Ltd,Financials,Speciality Finance,Large Cap,20.98,8.39,22.08,30.58,-42166.08,1597504.17,38.2,5.02,30.35,0.46,9.96
PIDILITIND,Pidilite Industries Ltd,Materials,Specialty Chemicals,Large Cap,23.25,0.04,13.34,19.58,444.58,176015.77,45.85,7.48,23.51,3.02,29.7
PNB,Punjab National Bank,Financials,Public Sector Banks,Large Cap,31.76,8.14,0.1,,3910.83,1728096.99,28.64,10.36,23.2,2.69,1.63
POWERGRID,Power Grid Corporation of India Ltd,Energy,Power Transmission,Large Cap,16.33,2.2,31.06,85.42,7234.33,295865.92,50.04,7.1,19.14,3.47,13.2
RECLTD,REC Ltd,Financials,Speciality Finance,Large Cap,18.92,6.46,24.77,92.75,-25847.5,310720.53,47.65,5.02,30.51,2.54,10.0
RELIANCE,"Reliance Industries Ltd
",Energy,Conglomerates,Large Cap,10.5,0.68,8.25,14.08,-11561.5,497055.84,48.14,8.06,27.19,1.98,9.61
SBILIFE,SBI Life Insurance Company Ltd,Financials,Life Insurance,Large Cap,17.01,0.0,3.02,2.5,495.83,690338.71,51.06,6.59,22.45,2.42,13.2
SBIN,State Bank of India,Financials,Public Sector Banks,Large Cap,,,,,,2021969.62,51.37,5.75,26.89,1.45,6.16
SHREECEM,Shree Cement Ltd,Materials,Cement,Large Cap,13.6,0.21,12.39,24.82,346.18,1932705.24,37.14,6.74,22.02,3.17,14.8
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,Consumer Finance,Large Cap,14.11,4.79,15.86,23.33,-9058.0,694394.75,46.98,8.47,21.08,1.45,11.3
SIEMENS,Siemens Ltd,Industrials,Capital Goods,Large Cap,17.06,0.0,10.37,10.0,692.5,983905.52,38.91,7.24,26.22,2.23,25.6
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,Large Cap,14.15,0.17,17.34,29.0,3220.67,914022.0,33.94,6.6,22.19,2.66,17.3
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,Food & Beverages,Large Cap,6.95,0.17,6.27,11.58,432.17,323512.26,40.48,5.49,25.54,2.28,10.6
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Automobiles,Large Cap,19.21,1.72,0.95,11.58,5584.0,1244490.87,37.96,5.53,21.52,3.25,20.1
TATAPOWER,"Tata Power Company Ltd
",Energy,Power & Utilities,Mid Cap,8.23,2.69,4.56,16.0,3232.5,1509743.29,34.4,4.05,22.51,2.58,11.1
TATASTEEL,"Tata Steel Ltd
",Materials,Steel,Mid Cap,15.48,1.57,2.88,12.0,6840.5,340887.75,47.11,8.5,20.03,2.28,7.02
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services,Large Cap,38.59,0.04,21.08,27.5,26134.17,369531.28,52.98,7.05,22.41,1.67,64.3
TECHM,Tech Mahindra Ltd,Information Technology,IT Services,Large Cap,20.1,0.11,11.78,16.67,2699.75,2293600.68,44.43,5.93,26.44,2.29,11.9
TITAN,"Titan Company Ltd
",Consumer Discretionary,Gems & Jewellery,Large Cap,24.71,0.51,6.66,10.08,364.08,1515643.49,36.54,7.52,21.61,2.79,22.7
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Large Cap,24.22,0.86,14.23,27.42,547.17,1326549.86,53.76,7.42,27.81,1.47,23.2
TRENT,Trent Ltd,Consumer Discretionary,Retail,Large Cap,9.66,0.52,2.73,8.08,64.42,646156.25,57.01,11.92,22.02,2.28,23.8
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,Two Wheelers,Large Cap,21.61,2.3,3.48,9.5,-1138.83,208487.97,34.86,7.69,11.54,2.53,
